-START-OF-DATA-
0	7.790
100000	7.788
200000	7.785
300000	7.781
400000	7.775
500000	7.769
600000	7.760
700000	7.751
800000	7.742
900000	7.731
1000000	7.721
1100000	7.710
1200000	7.700
1300000	7.689
1400000	7.680
1500000	7.671
1600000	7.664
1700000	7.658
1800000	7.651
1900000	7.644
2000000	7.634
2100000	7.623
2200000	7.597
2300000	7.558
2400000	7.513
2500000	7.468
2600000	7.430
2700000	7.408
2800000	7.407
2900000	7.435
3000000	7.498
3100000	7.577
3200000	7.577
3300000	7.590
3400000	7.610
3500000	7.633
3600000	7.655
3700000	7.676
3800000	7.691
3900000	7.697
4000000	7.693
4100000	7.667
4200000	7.609
4300000	7.545
4400000	7.502
4500000	7.477
4600000	7.464
4700000	7.464
4800000	7.482
4900000	7.521
5000000	7.581
5100000	7.611
5200000	7.624
5300000	7.632
5400000	7.637
5500000	7.640
5600000	7.640
5700000	7.638
5800000	7.634
5900000	7.629
6000000	7.623
6100000	7.616
6200000	7.609
6300000	7.602
6400000	7.596
6500000	7.590
6600000	7.586
6700000	7.584
6800000	7.583
6900000	7.585
7000000	7.588
7100000	7.592
7200000	7.596
7300000	7.600
7400000	7.605
7500000	7.609
7600000	7.614
7700000	7.619
7800000	7.624
7900000	7.630
8000000	7.635
8100000	7.641
8200000	7.647
8300000	7.654
8400000	7.660
8500000	7.667
8600000	7.674
8700000	7.682
8800000	7.689
8900000	7.697
9000000	7.705
9100000	7.714
9200000	7.722
9300000	7.731
9999999	7.731
-END-OF-DATA-


